 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0 0 0 0 0 0
2 1 0 0 0.001 0.0017822265625 0.000854840888672441 0.0015869140625 0.0025634765625 0.001220703125
3 1 0 0 0.0014 0.002685546875 0.00121948181091232 0.0029296875 0.003662109375 0.0015869140625
4 1 0 0 0.002 0.003521728515625 0.000785695777867059 0.0035400390625 0.0040283203125 0.0029296875
5 1 0 0 0.0028 0.004864501953125 0.00160153040039645 0.005615234375 0.0062255859375 0.0037841796875
6 1 0 0 0.004 0.0072021484375 0.00126270513095564 0.007568359375 0.0081787109375 0.0062255859375
7 1 0 0 0.0057 0.011407470703125 0.0023947180695333 0.01171875 0.0130615234375 0.0091552734375
8 1 0 0 0.008 0.017578125 0.00251447065891602 0.0174560546875 0.0203857421875 0.0162353515625
9 1 0 0 0.011 0.026275634765625 0.00300622154864769 0.0267333984375 0.0283203125 0.02392578125
10 1 0 0 0.016 0.042974853515625 0.00352220449421022 0.0435791015625 0.045654296875 0.041015625
11 1 0 0 0.023 0.06907958984375 0.00389744720418334 0.0699462890625 0.0716552734375 0.0667724609375
12 1 0 0 0.032 0.102447509765625 0.0042472531684322 0.10302734375 0.1058349609375 0.10107421875
13 1 0 0 0.045 0.157415771484375 0.00627641757192869 0.1590576171875 0.162109375 0.1519775390625
14 1 0 0 0.064 0.246759033203125 0.00851719089424716 0.248046875 0.2530517578125 0.2425537109375
15 1 0 0 0.09 0.37291259765625 0.00613200139799007 0.375 0.378173828125 0.3681640625
16 1 0 0 0.128 0.607568359375 0.0106944741142705 0.60595703125 0.61669921875 0.6005859375
17 1 0 0 0.18 0.9946533203125 0.00370088520802723 0.99560546875 0.998046875 0.9931640625
18 1 0 0 0.26 1 0 1 1 1
19 1 0 0 0.36 1 0 1 1 1
20 1 0 0 0.5 1 0 1 1 1
