 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0 0 0 0 0 0
2 1 0.001 0 0 0 0 0 0 0
3 1 0.0014 0 0 0 0 0 0 0
4 1 0.002 0 0 0 0 0 0 0
5 1 0.0028 0 0 0 0 0 0 0
6 1 0.004 0 0 0 0 0 0 0
7 1 0.0057 0 0 6.103515625e-06 2.66046078096965e-05 0 0 0
8 1 0.008 0 0 1.8310546875e-05 4.35878199984305e-05 0 0 0
9 1 0.011 0 0 4.8828125e-05 0.000118351559018953 0 0 0
10 1 0.016 0 0 7.32421875e-05 0.000124487781093574 0 0.0001220703125 0
11 1 0.023 0 0 0.000115966796875 0.000183003715216857 0 0.0001220703125 0
12 1 0.032 0 0 0.000146484375 0.000175203858574308 0.0001220703125 0.000244140625 0
13 1 0.045 0 0 0.0001953125 0.000276752540252799 0 0.0003662109375 0
14 1 0.064 0 0 0.000360107421875 0.000194835079339751 0.0003662109375 0.00048828125 0.0003662109375
15 1 0.09 0 0 0.00057373046875 0.000436902591996418 0.000732421875 0.0008544921875 0.000244140625
16 1 0.128 0 0 0.001116943359375 0.000529671230460147 0.001220703125 0.00146484375 0.000732421875
17 1 0.18 0 0 0.00201416015625 0.00100994281210318 0.001953125 0.0025634765625 0.0013427734375
18 1 0.26 0 0 0.00523681640625 0.00188237804924649 0.00537109375 0.0064697265625 0.0040283203125
19 1 0.36 0 0 0.012109375 0.00326309266535227 0.0128173828125 0.0142822265625 0.009033203125
20 1 0.5 0 0 0.044000244140625 0.00559802195385286 0.0455322265625 0.0465087890625 0.0391845703125
