 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0.0052734375 0.00117123904456162 0.0054931640625 0.006103515625 0.0048828125
2 1 0 0 0.0014 0.0075439453125 0.00132804421571867 0.008056640625 0.0086669921875 0.006591796875
3 1 0 0 0.002 0.01129150390625 0.0015219676434089 0.0113525390625 0.0125732421875 0.0101318359375
4 1 0 0 0.0028 0.01451416015625 0.00155125385453009 0.0142822265625 0.015625 0.0133056640625
5 1 0 0 0.004 0.021368408203125 0.00196015998350404 0.02197265625 0.022705078125 0.0198974609375
6 1 0 0 0.0057 0.029302978515625 0.00312782993925784 0.02978515625 0.0308837890625 0.0269775390625
7 1 0 0 0.008 0.041278076171875 0.00257804725992156 0.0413818359375 0.0433349609375 0.038818359375
8 1 0 0 0.011 0.05589599609375 0.00361004246076519 0.0557861328125 0.0576171875 0.0537109375
9 1 0 0 0.016 0.07962646484375 0.00507790491654258 0.0802001953125 0.083251953125 0.07763671875
10 1 0 0 0.023 0.11480712890625 0.00440629867093949 0.1143798828125 0.1170654296875 0.112060546875
11 1 0 0 0.032 0.1594970703125 0.00588366243218263 0.1591796875 0.1622314453125 0.156005859375
12 1 0 0 0.045 0.220086669921875 0.00736059438318288 0.220703125 0.224609375 0.2166748046875
13 1 0 0 0.064 0.311328125 0.00816862936828269 0.310302734375 0.31689453125 0.306640625
14 1 0 0 0.09 0.438140869140625 0.0081861661268543 0.4412841796875 0.44482421875 0.4351806640625
15 1 0 0 0.128 0.65181884765625 0.0099773421494472 0.64990234375 0.65966796875 0.64453125
16 1 0 0 0.18 0.9970458984375 0.00245103083351849 0.997802734375 0.999267578125 0.9951171875
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
