 SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit
1 0 0 0 0 0
2 0 0 .001 0.004248046875 0.000908255626842692
3 0 0 .0014 0.0066162109375 0.00133028639900637
4 0 0 .002 0.00758056640625 0.00139336724948823
5 0 0 .0028 0.01251220703125 0.0012770795169709
6 0 0 .004 0.01929931640625 0.00313530652855018
7 0 0 .0057 0.025634765625 0.00288096282256005
8 0 0 .008 0.03765869140625 0.00413357187949179
9 0 0 .011 0.051708984375 0.00335913014074017
10 0 0 .016 0.07655029296875 0.00578166290045919
11 0 0 .023 0.11368408203125 0.00526066398668714
12 0 0 .032 0.164013671875 0.00544909624078287
13 0 0 .045 0.2261474609375 0.00379958432082407
14 0 0 .064 0.3031494140625 0.00644877947415134
15 0 0 .09 0.41905517578125 0.0105188137734752
16 0 0 .128 0.64154052734375 0.0104736399261511
17 0 0 .18 0.99752197265625 0.00318088626992595
18 0 0 .26 1 0
19 0 0 .36 1 0
20 0 0 .5 1 0
