 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0 0 0 0 0
2 1 0 0 0.0014 0 0 0 0 0
3 1 0 0 0.002 0 0 0 0 0
4 1 0 0 0.0028 0 0 0 0 0
5 1 0 0 0.004 0 0 0 0 0
6 1 0 0 0.0057 0 0 0 0 0
7 1 0 0 0.008 0.0833333333333333 0.276385399196283 0 0 0
8 1 0 0 0.011 0 0 0 0 0
9 1 0 0 0.016 0.0426127115885417 0.0252814492922602 0.0567626953125 0.0623779296875 0.0419921875
10 1 0 0 0.023 0.251291910807292 0.334872410954069 0.1044921875 0.11181640625 0.098388671875
11 1 0 0 0.032 0.928690592447917 0.236506548872796 1 1 1
12 1 0 0 0.045 1 0 1 1 1
13 1 0 0 0.064 1 0 1 1 1
14 1 0 0 0.09 1 0 1 1 1
15 1 0 0 0.128 1 0 1 1 1
16 1 0 0 0.18 1 0 1 1 1
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
