 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit
1 1 0 0.001 0 0 0
2 1 0 0.0014 0 0 0
3 1 0 0.002 0 0 0
4 1 0 0.0028 0 0 0
5 1 0 0.004 0 0 0
6 1 0 0.0057 0 0 0
7 1 0 0.008 0 0 0
8 1 0 0.011 0 0 0
9 1 0 0.016 0 0 0
10 1 0 0.023 0 0 0
11 1 0 0.032 0 0 0
12 1 0 0.045 0 0 0
13 1 0 0.064 0 0 0
14 1 0 0.09 0 0.050439453125 0.00376356849073108
15 1 0 0.128 0 0.06927490234375 0.00570794568056568
16 1 0 0.18 0 0.0891845703125 0.0131725349668197
17 1 0 0.26 0 0.29119873046875 0.001967756777708
18 1 0 0.36 0 0.29031982421875 0.00146082007603828
19 1 0 0.5 0 0.2906982421875 0.00205658590709108
