 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit
1 1 0 0 0 0 0
2 1 0.001 0 0 0 0
3 1 0.0014 0 0 0 0
4 1 0.002 0 0 0 0
5 1 0.0028 0 0 0 0
6 1 0.004 0 0 0 0
7 1 0.0057 0 0 0 0
8 1 0.008 0 0 0 0
9 1 0.011 0 0 0 0
10 1 0.016 0 0 0 0
11 1 0.023 0 0 0 0
12 1 0.032 0 0 0 0
13 1 0.045 0 0 0 0
14 1 0.064 0 0 0 0
15 1 0.09 0 0 0 0
16 1 0.128 0 0 0 0
17 1 0.18 0 0 0.01671142578125 0.0210637232088509
18 1 0.26 0 0 0.084716796875 0.00511589674650245
19 1 0.36 0 0 0.12899169921875 0.00511328919995096
20 1 0.5 0 0 0.49913330078125 0.00601534211125145
