 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0 0 0 0 0
2 1 0 0 0.0014 0 0 0 0 0
3 1 0 0 0.002 0 0 0 0 0
4 1 0 0 0.0028 0 0 0 0 0
5 1 0 0 0.004 0 0 0 0 0
6 1 0 0 0.0057 0 0 0 0 0
7 1 0 0 0.008 0 0 0 0 0
8 1 0 0 0.011 0 0 0 0 0
9 1 0 0 0.016 0 0 0 0 0
10 1 0 0 0.023 0.000323486328125 0.00141004421391391 0 0 0
11 1 0 0 0.032 0.0555908203125 0.00590464587352141 0.0550537109375 0.0615234375 0.05078125
12 1 0 0 0.045 0.102777099609375 0.00540103887768183 0.1031494140625 0.107177734375 0.1004638671875
13 1 0 0 0.064 0.235980224609375 0.0256630376497945 0.2447509765625 0.248779296875 0.236328125
14 1 0 0 0.09 0.326141357421875 0.00177396138053389 0.326416015625 0.32763671875 0.3253173828125
15 1 0 0 0.128 0.625 0 0.625 0.625 0.625
16 1 0 0 0.18 1 0 1 1 1
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
