 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0 0 0 0 0 0
2 1 0 0 0.001 0.00154622395833333 0.000865083480854057 0.001708984375 0.001953125 0.0008544921875
3 1 0 0 0.0014 0.00250244140625 0.00091552734375 0.00244140625 0.003662109375 0.0018310546875
4 1 0 0 0.002 0.00359090169270833 0.00119962508241244 0.0035400390625 0.00439453125 0.003173828125
5 1 0 0 0.0028 0.00458780924479167 0.00119858950916793 0.0050048828125 0.0057373046875 0.004150390625
6 1 0 0 0.004 0.008087158203125 0.00195065978556504 0.0078125 0.010498046875 0.006591796875
7 1 0 0 0.0057 0.0110066731770833 0.00145534686423812 0.0106201171875 0.0123291015625 0.0101318359375
8 1 0 0 0.008 0.0173441569010417 0.00144904053932717 0.0174560546875 0.0185546875 0.016357421875
9 1 0 0 0.011 0.0273030598958333 0.00360893927985932 0.026123046875 0.030517578125 0.025390625
10 1 0 0 0.016 0.04296875 0.00342957478934007 0.0435791015625 0.0462646484375 0.0408935546875
11 1 0 0 0.023 0.0647989908854167 0.00382427454435697 0.065673828125 0.068115234375 0.062255859375
12 1 0 0 0.032 0.100921630859375 0.00657862064581341 0.1033935546875 0.1055908203125 0.098876953125
13 1 0 0 0.045 0.158599853515625 0.00442610103330647 0.1591796875 0.1611328125 0.156005859375
14 1 0 0 0.064 0.246012369791667 0.00666454967026437 0.24853515625 0.251220703125 0.2449951171875
15 1 0 0 0.09 0.372080485026042 0.00699724137874186 0.3697509765625 0.37939453125 0.3663330078125
16 1 0 0 0.128 0.60302734375 0.0113097996307622 0.60205078125 0.61669921875 0.59716796875
17 1 0 0 0.18 0.996622721354167 0.00324170171527879 0.99755859375 1 0.99560546875
18 1 0 0 0.26 1 0 1 1 1
19 1 0 0 0.36 1 0 1 1 1
20 1 0 0 0.5 1 0 1 1 1
