 MutProb SubProb DupProb DelProb MeanEditsPerBit StDevEditsPerBit MedianEditsPerBit UpperQuartileEditsPerBit LowerQuartileEditsPerBit
1 1 0 0 0.001 0 0 0 0 0
2 1 0 0 0.0014 0 0 0 0 0
3 1 0 0 0.002 0 0 0 0 0
4 1 0 0 0.0028 0 0 0 0 0
5 1 0 0 0.004 0 0 0 0 0
6 1 0 0 0.0057 0 0 0 0 0
7 1 0 0 0.008 0 0 0 0 0
8 1 0 0 0.011 0 0 0 0 0
9 1 0 0 0.016 0 0 0 0 0
10 1 0 0 0.023 0 0 0 0 0
11 1 0 0 0.032 0.0582275390625 0.00781202314828899 0.058837890625 0.067138671875 0.0552978515625
12 1 0 0 0.045 0.104736328125 0.00512259161580988 0.105224609375 0.1097412109375 0.1015625
13 1 0 0 0.064 0.163747151692708 0.00577666038900504 0.1649169921875 0.169189453125 0.15771484375
14 1 0 0 0.09 0.32537841796875 0.00125827198047414 0.3251953125 0.326416015625 0.3245849609375
15 1 0 0 0.128 0.625 0 0.625 0.625 0.625
16 1 0 0 0.18 1 0 1 1 1
17 1 0 0 0.26 1 0 1 1 1
18 1 0 0 0.36 1 0 1 1 1
19 1 0 0 0.5 1 0 1 1 1
